Puzzle Group,Average Orginal Puzzle Clues,Average Minimum Puzzle Clues,Average Hamming Distance,Minimum Hamming Distance,Minumum Puzzle Found,Average Hill Climb Result Clues,Maximum Puzzle Found,Average Maximum Puzzle Found,Number of Puzzles
easy_0,31.88,21.29,36.04,21,20,24.38,30,27.84,2500
easy_1,31.88,21.28,35.97,18,19,24.39,30,27.85,2500
easy_2,31.87,21.29,35.9,20,20,24.39,30,27.84,2500
easy_3,31.87,21.29,36.0,19,20,24.38,31,27.85,2500
evil_0,17.0,21.12,28.35,5,19,24.27,30,27.74,2500
evil_1,17.0,21.12,28.44,10,19,24.27,30,27.72,2500
evil_2,17.0,21.11,28.56,8,20,24.27,30,27.73,2500
evil_3,17.0,21.12,28.53,8,19,24.27,30,27.73,2500
expert_0,28.38,21.3,34.46,20,20,24.39,30,27.84,2500
expert_1,28.35,21.3,34.17,20,20,24.39,30,27.84,2500
expert_2,28.39,21.3,34.39,20,19,24.39,30,27.85,2500
expert_3,28.37,21.31,34.34,20,20,24.39,31,27.86,2500
kids_0,50.33,21.29,44.82,31,20,24.39,30,27.85,2500
kids_1,50.33,21.31,44.84,32,20,24.39,30,27.88,2500
kids_2,50.35,21.28,44.91,32,19,24.39,30,27.86,2500
kids_3,50.3,21.3,45.01,31,20,24.39,30,27.85,2500
medium_0,29.9,21.3,35.09,20,19,24.38,30,27.85,2500
medium_1,29.88,21.29,35.14,17,19,24.39,30,27.86,2500
medium_2,29.88,21.29,35.01,20,20,24.39,30,27.86,2500
medium_3,29.88,21.28,35.03,19,20,24.39,30,27.85,2500
