Puzzle Group,Average Orginal Puzzle Clues,Average Minimum Puzzle Clues,Average Hamming Distance,Minumum Puzzle Found,Number of Puzzles
easy_0,31.89,24.36,36.68,21,1052
easy_1,31.87,24.42,36.91,21,1048
easy_2,31.86,24.36,36.94,21,1053
easy_3,31.87,24.35,36.83,21,1055
evil_0,17.0,24.27,30.62,21,1058
evil_1,17.0,24.3,30.77,21,1058
evil_2,17.0,24.24,30.54,21,1056
evil_3,17.0,24.22,30.57,21,1050
expert_0,28.39,24.33,35.28,21,1057
expert_1,28.36,24.39,35.34,21,1053
expert_2,28.39,24.34,35.31,21,1053
expert_3,28.38,24.34,35.19,21,1063
kids_0,50.34,24.3,44.27,21,1106
kids_1,50.35,24.33,44.4,21,1068
kids_2,50.36,24.34,44.37,21,1062
kids_3,50.33,24.38,44.29,21,1053
medium_0,29.9,24.39,35.82,21,1051
medium_1,29.87,24.36,36.04,21,1075
medium_2,29.89,24.33,36.01,21,1071
medium_3,29.88,24.39,36.06,21,1044
